Ime,Priimek,Pozicija,Stevilo_tekem,Minute_na_tekmo,Tocke,Met,Trojke,Prosti_meti
Raul,Neto,PG,48,10.5,3.3,51.8,28.6,
Max,Christie,SG,41,12.5,3.1,41.5,41.9,
Jordan,Hall,PG,9,8.8,3.1,32.1,20.0,
Richaun,Holmes,C,42,8.3,3.1,61.8,62.5,
Christian,Koloko,C,58,13.8,3.1,48.0,8.3,
Josh,Minott,SF,15,6.4,3.1,50.0,33.3,
Jamaree,Bouyea,PG,5,14.2,3.0,42.9,33.3,
Tyler,Dorsey,SG,3,2.7,3.0,80.0,50.0,
Usman,Garuba,PF,75,12.9,3.0,48.6,40.7,
Jake,LaRavia,SF,35,11.8,3.0,38.9,33.8,
Trevelin,Queen,SG,7,10.0,3.0,24.1,13.3,
Juan,Toscano-Anderson,SF,52,13.5,3.0,44.8,18.6,
Juancho,Hernangomez,C,42,14.6,2.9,42.1,25.4,
Dru,Smith,SG,15,10.5,2.9,40.0,26.3,
Neemias,Queta,C,5,5.8,2.4,66.7,—,0.0
Jared,Butler,PG,6,12.8,6.2,46.9,50.0,
Sam,Merrill,SG,5,11.8,5.0,40.9,27.8,
Olivier,Sarr,PF,9,12.7,4.0,50.0,12.5,
Peyton,Watson,SF,23,8.1,3.3,49.2,42.9,
Jared,Rhoden,SF,14,14.1,3.2,38.6,25.0,
Robin,Lopez,C,37,8.1,3.0,64.0,50.0,
Kessler,Edwards,SF,35,11.0,2.9,38.7,30.9,
Carlik,Jones,PG,7,8.0,2.9,40.0,50.0,
Frank,Ntilikina,PG,47,12.9,2.9,36.4,25.4,
Jason,Preston,PG,14,8.9,2.9,43.9,27.8,
Terry,Taylor,SF,31,8.5,2.9,52.0,26.3,
James,Johnson,PF,18,9.0,2.8,44.9,20.0,
Moussa,Diabate,PF,22,8.9,2.7,51.1,50.0,
Mamadi,Diakite,PF,22,8.0,2.6,48.0,33.3,
Isaiah,Mobley,PF,12,7.0,2.6,42.9,37.5,
Jaden,Springer,SG,16,5.6,2.6,48.6,40.0,
Frank,Kaminsky,PF,36,6.5,2.5,49.2,39.4,
Ish,Smith,PG,43,9.3,2.5,39.7,16.7,
John,Butler,PF,19,11.6,2.4,32.1,22.9,
Jeff,Dowtin,PG,25,10.4,2.4,43.9,31.3,
Theo,Pinson,SG,40,8.1,2.4,35.6,35.5,
Trent,Forrest,SG,23,12.0,2.3,41.7,0.0,
Scotty,Pippen Jr.,PG,6,5.3,2.3,33.3,33.3,
Khem,Birch,C,20,8.1,2.2,59.4,50.0,
Justin,Champagnie,SF,5,6.8,2.2,33.3,20.0,
Kennedy,Chandler,PG,36,7.8,2.2,42.2,13.3,
Ron,Harper Jr.,SF,9,5.3,2.2,50.0,33.3,
Dalen,Terry,SG,38,5.6,2.2,44.4,25.9,
Andre,Iguodala,SG,8,14.1,2.1,46.7,11.1,
Nerlens,Noel,C,17,11.5,2.1,36.1,50.0,
Davon,Reed,SG,43,8.0,2.1,33.3,37.0,
Chris,Silva,PF,1,3.0,2.0,100.0,—,—
Garrett,Temple,SF,25,6.5,2.0,40.0,42.3,
Stanley,Umude,SG,1,2.0,2.0,0.0,0.0,
Ryan,Rollins,SG,12,5.2,1.9,35.0,33.3,
Greg,Brown,SF,16,5.8,1.8,39.3,14.3,
Trevor, Hudgins,PG,5,5.6,1.8,22.2,25.0,
Alize,Johnson,PF,4,7.5,1.8,50.0,0.0,
Xavier,Moon,SG,4,5.0,1.8,33.3,33.3,
Alex,Len,C,26,6.2,1.7,53.3,0.0,
Dylan,Windler,SG,3,3.3,1.7,66.7,50.0,
Buddy,Boeheim,SG,10,9.0,1.6,18.5,16.0,
Tony,Bradley,C,12,2.8,1.6,50.0,60.0,
Kendall,Brown,SF,6,6.7,1.5,57.1,0.0,
Matthew,Dellavedova,PG,32,6.7,1.5,34.0,33.3,
Keon,Ellis,SG,16,4.4,1.5,43.8,50.0,
Jordan,Schakel,SF,2,3.0,1.5,50.0,100.0,
Wendell,Moore Jr.,SF,29,5.3,1.4,41.9,11.8,
Braxton,Key,SF,3,3.0,1.3,100.0,—,100.0
Cole,Swider,PF,7,5.9,1.3,33.3,37.5,
