Ime,Priimek,Pozicija,Stevilo_tekem,Minute_na_tekmo,Tocke,Met,Trojke,Prosti_meti
Trey,Murphy III,SF,79,31.0,14.5,48.4,40.6,
Tim,Hardaway Jr.,SF,71,30.3,14.4,40.1,38.5,
Skylar,Mays,SG,6,31.5,15.3,50.0,46.2,
Jarrett,Allen,C,68,32.6,14.3,64.4,10.0,
Dillon,Brooks,SF,73,30.3,14.3,39.6,32.6,
Collin,Sexton,SG,48,23.9,14.3,50.6,39.3,
Bobby,Portis,PF,70,26.0,14.1,49.6,36.8,
Jonas,Valanciunas,C,79,24.9,14.1,54.7,34.9,
Jalen,Williams,SF,75,30.3,14.1,52.1,35.6,
Bogdan,Bogdanovic,SF,54,27.9,14.0,44.7,40.6,
Markelle,Fultz,PG,60,29.6,14.0,51.4,31.0,
Chris,Paul,PG,59,32.0,13.9,44.0,37.5,
Saddiq,Bey,SF,77,27.6,13.8,42.2,36.1,
Luguentz,Dort,SF,74,30.7,13.7,38.8,33.0,
Malik,Monk,SG,77,22.3,13.5,44.8,35.9,
Rudy,Gobert,C,70,30.7,13.4,65.9,0.0,
Jusuf,Nurkic,C,52,26.7,13.3,51.9,36.1,
Kris,Dunn,PG,22,25.8,13.2,53.7,47.2,
John,Collins,PF,71,30.0,13.1,50.8,29.2,
Cole,Anthony,PG,60,25.9,13.0,45.4,36.4,
Austin,Reaves,SG,64,28.8,13.0,52.9,39.8,
Tre,Jones,PG,68,29.2,12.9,45.9,28.5,
Alec,Burks,PG,51,22.0,12.8,43.6,41.4,
Jabari,Smith,PF,79,31.0,12.8,40.8,30.7,
Malik,Beasley,SF,81,25.8,12.7,39.5,35.7,
Kenyon,Martin Jr.,SF,82,28.0,12.7,56.9,31.5,
Nicolas,Claxton,C,76,29.9,12.6,70.5,0.0,
Dennis,Schroder,PG,66,30.1,12.6,41.5,32.9,
Kelly,Olynyk,PF,68,28.6,12.5,49.9,39.4,
Jakob,Poeltl,C,72,26.5,12.5,62.9,0.0,
Eric,Gordon,SF,69,28.5,12.4,44.6,37.1,
Derrick,White,SG,82,28.3,12.4,46.2,38.1,
Keegan,Murray,PF,80,29.8,12.2,45.3,41.1,
Caris,LeVert,SG,74,30.3,12.1,43.1,39.2,
Jaden,McDaniels,SF,79,30.6,12.1,51.7,39.8,
Marvin,Bagley III,C,42,23.5,12.0,52.9,28.8,
Clint,Capela,C,65,26.6,12.0,65.3,0.0,
Mike,Conley,PG,67,30.3,11.9,42.8,38.5,
Bones,Hyland,PG,56,19.4,11.8,39.9,37.1,
Lonnie,Walker IV,SF,56,23.2,11.7,44.8,36.5,
Zach,Collins,C,63,22.9,11.6,51.8,37.4,
Bruce,Brown,SF,80,28.5,11.5,48.3,35.8,
Naz,Reid,C,68,18.4,11.5,53.7,34.6,
Marcus,Smart,PG,61,32.1,11.5,41.5,33.6,
Max,Strus,SG,80,28.4,11.5,41.0,35.0,
John,Wall,PG,34,22.2,11.4,40.8,30.3,
Quentin,Grimes,SG,71,29.9,11.3,46.8,38.6,
Isaiah,Stewart,PF,50,28.3,11.3,44.2,32.7,
Rui,Hachimura,PF,63,23.3,11.2,48.6,31.9,
Kyle,Lowry,PG,55,31.2,11.2,40.4,34.5,
Marcus,Morris,PF,65,28.1,11.2,42.6,36.5,
Corey,Kispert,SG,74,28.3,11.1,49.7,42.4,
Jeremy,Sochan,PF,56,26.0,11.0,45.3,24.6,
Kentavious,Caldwell-Pope,SG,76,31.3,10.8,46.2,42.3,
Jaylen,Nowell,SG,65,19.3,10.8,44.8,28.9,
Mason,Plumlee,C,79,26.0,10.8,68.0,—,63.6
Ivica,Zubac,C,76,28.6,10.8,63.4,0.0,
Talen,Horton-Tucker,SF,65,20.2,10.7,41.9,28.6,
Victor,Oladipo,SG,42,26.3,10.7,39.7,33.0,
Cameron,Thomas,SG,57,16.6,10.6,44.1,38.3,
Moe,Wagner,C,57,19.5,10.5,50.0,31.3,
Grayson,Allen,SG,72,27.4,10.4,44.0,39.9,
Killian,Hayes,PG,76,28.3,10.3,37.7,28.0,
Tyus,Jones,PG,80,24.3,10.3,43.8,37.1,
Monte,Morris,PG,62,27.4,10.3,48.0,38.2,
Cameron,Payne,PG,48,20.2,10.3,41.5,36.8,
Malaki,Branham,SG,66,23.5,10.2,44.0,30.2,
Reggie,Jackson,PG,68,24.4,10.2,41.1,33.3,
Doug,McDermott,SF,64,20.5,10.2,45.7,41.3,
Patrick,Williams,PF,82,28.3,10.2,46.4,41.5,
De'Anthony,Melton,SG,77,27.9,10.1,42.5,39.0,
Aaron,Nesmith,SF,73,24.9,10.1,42.7,36.6,
Josh,Richardson,SG,65,23.6,10.1,43.1,36.5,
Brandon,Clarke,C,56,19.5,10.0,65.6,16.7,
James,Wiseman,C,45,19.3,10.0,55.8,20.0,
Jonathan,Kuminga,PF,67,20.8,9.9,52.5,37.0,
Onyeka,Okongwu,C,80,23.1,9.9,63.8,30.8,
